Code,1,2,3,4,5,6
UEBERL13,0.0086,0.0154,0.0071,0.2813,0.6583,0.0293
UEBERL9,0.005,0.0068,0.003,0.007,0.9718,0.0064
UEBERL121,0.0054,0.0074,0.003,0.0071,0.9699,0.0071
UEBERL39,0.0091,0.0144,0.0042,0.0098,0.9514,0.011
UEBERL117,0.0051,0.0061,0.003,0.006,0.9734,0.0063
UEBERL117,0.0052,0.006,0.003,0.006,0.9737,0.0061
UEBERL110,0.0346,0.023,0.0093,0.0248,0.8971,0.0112
UEBERL61,0.0069,0.005,0.003,0.0079,0.9705,0.0067
BOHBU455,0.0146,0.006,0.0061,0.9594,0.0046,0.0093
UST1,0.7128,0.079,0.0038,0.0315,0.0099,0.1631
UEBERL140,0.0072,0.0058,0.003,0.0083,0.9687,0.007
UEBERL140,0.0072,0.0057,0.003,0.0081,0.9692,0.0068
UEBERL16,0.0121,0.0078,0.0041,0.0092,0.9572,0.0096
UST27,0.0283,0.008,0.0544,0.2172,0.0227,0.6694
UST10,0.0167,0.0369,0.0032,0.1888,0.1829,0.5715
UST24,0.183,0.0074,0.004,0.0854,0.1634,0.5568
UST18,0.0812,0.0283,0.003,0.3589,0.374,0.1546
UST30,0.01,0.0066,0.003,0.0284,0.9307,0.0213
UST5,0.0515,0.0073,0.003,0.0675,0.7003,0.1703
UST17,0.0087,0.0062,0.0039,0.0124,0.9549,0.0139
UST22,0.0472,0.0064,0.004,0.0256,0.8247,0.092
SCHLIDR71,0.0542,0.1721,0.004,0.6267,0.0136,0.1293
BOHBU148,0.0069,0.011,0.0031,0.9275,0.0406,0.0109
BOHBU380,0.0107,0.0342,0.0039,0.8626,0.0334,0.0552
RIETH3,0.174,0.0577,0.0034,0.6258,0.0996,0.0395
BOHBU362,0.0109,0.0219,0.004,0.9438,0.009,0.0104
RIETH7,0.0287,0.0053,0.003,0.015,0.9345,0.0136
RIETH7,0.029,0.0053,0.003,0.0146,0.9343,0.0138
GEN007,0.0122,0.1142,0.004,0.0169,0.3136,0.5391
LIM011,0.1543,0.0232,0.0084,0.3551,0.0452,0.4137
FREI28,0.0093,0.308,0.0239,0.0524,0.036,0.5704
BOHBU64,0.0069,0.0126,0.004,0.9588,0.0109,0.0069
BOHBU166,0.007,0.017,0.0048,0.9492,0.0131,0.0089
SCHLIDR67,0.0375,0.0406,0.004,0.8645,0.0209,0.0326
BOHBU156,0.0093,0.0122,0.0048,0.9277,0.03,0.016
BOHBU539,0.0091,0.0378,0.0046,0.8855,0.0483,0.0148
BOHBU104,0.0595,0.0119,0.0051,0.7716,0.1165,0.0353
BOHBU254,0.0087,0.0094,0.004,0.9604,0.0106,0.0069
BOHBU461,0.0119,0.006,0.004,0.9532,0.0166,0.0083
BOHBU370,0.0087,0.0086,0.004,0.9611,0.0103,0.0073
BOHBU485,0.0076,0.0096,0.0043,0.8847,0.0826,0.0113
BOHBU309,0.0071,0.0069,0.0038,0.9559,0.0201,0.0062
BOHBU63,0.0099,0.006,0.004,0.9165,0.0543,0.0093
BOHBU253,0.0061,0.0056,0.0034,0.9661,0.0129,0.0059
SCHLIDR69,0.0336,0.4694,0.0046,0.3926,0.0124,0.0875
FRIC103,0.0343,0.0264,0.005,0.8015,0.0668,0.066
BOHBU431,0.0152,0.0093,0.0037,0.9578,0.008,0.006
FREI10,0.0167,0.3998,0.0173,0.0927,0.0426,0.4309
UST25,0.0359,0.0226,0.0832,0.5013,0.0231,0.3339
BOHBU103,0.0136,0.0233,0.004,0.1085,0.6985,0.1521
BOHBU65,0.0116,0.1057,0.0051,0.7058,0.1327,0.0391
BOHBU255,0.0111,0.1321,0.005,0.4757,0.3289,0.0472
UST9,0.0072,0.0072,0.004,0.0064,0.9678,0.0073
BOHBU236,0.0104,0.0076,0.003,0.0064,0.9628,0.0098
UEBERL133,0.0092,0.0079,0.003,0.0192,0.9497,0.011
UEBERL133,0.0092,0.0078,0.003,0.02,0.9489,0.0111
LIM061,0.0633,0.4056,0.0069,0.0555,0.0113,0.4573
UEBERL138,0.005,0.0073,0.003,0.007,0.9707,0.007
UEBERL179,0.005,0.0063,0.003,0.0058,0.9739,0.006
