Ind,Pop,aest01_1,aest06_1,aest07_1,aest10_1,aest15_1,aest18_1,aest24_1,aest25_1,aest26_1,aest28_1,aest29_1,aest31_1,aest35_1,aest36_1
BOHHAS36,BOH_9_2013,236,218,256,280,312,144,298,128,157,389,216,318,148,326
BOHHAS37,BOH_9_2013,236,218,261,280,312,144,298,128,157,389,216,318,148,322
BOHHAS39,BOH_10_2013,236,218,261,280,312,140,298,128,142,389,216,318,140,322
BOHHAS4,BOH_9_2011,236,218,261,280,312,144,298,128,157,0,216,313,148,326
BOHHAS40,BOH_10_2013,0,218,261,280,312,144,298,128,178,389,216,313,148,326
BOHHAS41,BOH_11_2013,236,218,256,295,312,144,298,128,145,383,216,318,148,326
BOHHAS43,BOH_7_2014,236,218,256,280,312,144,298,128,142,389,216,318,148,326
BOHHAS44,BOH_7_2014,0,218,261,295,312,140,298,128,178,0,216,318,148,322
BOHHAS45,BOH_8_2014,242,218,261,280,312,144,298,128,157,383,216,308,128,326
BOHHAS46,BOH_8_2014,236,218,261,280,312,144,298,128,157,389,211,308,128,326
BOHHAS53,BOH_11_2014,236,218,256,295,312,140,298,128,157,389,216,318,148,326
BOHHAS54,BOH_9_2015,0,218,261,280,312,144,298,128,157,0,216,0,148,326
BOHHAS56,BOH_10_2015,0,218,256,295,312,160,0,137,178,389,211,0,148,322
BOHHAS6,BOH_9_2011,236,224,261,280,312,144,298,128,157,389,216,318,128,326
BOHHAS7,BOH_10_2011,236,218,256,295,312,144,298,128,157,389,216,318,148,326
BOHHAS8,BOH_10_2011,236,218,256,295,312,144,298,128,145,353,216,313,148,326
BUR1,BUR_7_2013,260,218,256,299,322,160,313,137,157,353,209,318,164,350
BUR10,BUR_9_2013,260,218,276,299,322,160,313,137,157,353,209,318,164,322
BUR100,BUR_8_2016,0,217,276,299,322,160,313,137,157,353,209,0,164,322
BUR102,BUR_9_2016,260,212,256,299,322,160,313,140,157,359,209,308,164,350
BUR103,BUR_9_2016,0,217,276,299,322,160,313,137,157,353,209,318,164,322
BUR104,BUR_9_2016,260,217,276,299,322,160,313,137,157,353,209,318,164,322
BUR130,BUR_10_2016,0,217,276,299,322,160,0,137,157,353,209,0,164,322
BUR144,BUR_12_2016,0,218,261,290,312,160,295,122,145,356,216,0,148,322
BUR15,BUR_9_2013,236,218,276,299,322,160,313,137,157,353,209,318,164,322
BUR150,BUR_8_2018,260,212,256,299,322,160,313,140,157,359,209,0,164,350
BUR162,BUR_9_2018,0,212,256,299,322,160,313,140,157,359,209,308,0,0
BUR170,BUR_10_2018,242,218,256,295,312,144,298,128,0,491,216,318,148,326
BUR179,BUR_10_2018,0,212,256,299,322,160,313,140,157,359,209,308,164,350
BUR18,BUR_10_2013,0,218,276,299,322,160,313,137,157,353,209,318,164,322
BUR187,BUR_11_2018,0,212,256,299,322,160,313,140,157,359,209,0,164,350
BUR19,BUR_10_2013,260,218,276,299,322,160,313,140,157,353,209,318,164,322
BUR198,BUR_9_2019,0,217,276,0,322,160,0,137,157,353,209,0,164,322
BUR2,BUR_7_2013,260,218,256,299,322,160,313,137,157,353,209,308,164,350
BUR20,BUR_10_2013,0,218,276,299,322,160,0,137,157,353,209,318,164,322
BUR210,BUR_11_2019,0,217,276,299,322,160,313,137,157,353,209,318,0,322
BUR223,BUR_6_2020,260,217,276,299,322,160,314,137,157,353,209,319,164,322
BUR241,BUR_8_2020,242,218,256,295,312,144,298,128,157,0,216,318,148,326
BUR25,BUR_10_2013,260,218,276,299,322,160,313,137,157,353,209,313,164,322
BUR26,BUR_10_2013,260,218,276,299,322,160,313,137,157,353,209,0,164,322
BUR27,BUR_10_2013,236,218,276,299,322,160,313,137,157,353,209,0,164,322
BUR3,BUR_8_2013,242,218,256,295,312,144,298,128,142,492,216,318,148,326
BUR32,BUR_10_2013,242,218,256,295,312,144,298,122,157,492,216,318,148,326
BUR35,BUR_10_2013,260,218,276,299,322,160,313,137,157,353,0,318,164,322
BUR39,BUR_10_2013,236,218,261,295,312,160,313,128,157,356,211,318,148,322
BUR55,BUR_10_2013,0,218,276,299,322,160,313,137,157,353,209,0,164,322
BUR71,BUR_12_2013,260,218,256,299,322,160,313,140,157,359,209,308,164,350
BUR73,BUR_12_2013,260,218,256,299,322,160,313,140,157,359,209,318,164,350
BUR77,BUR_10_2014,0,218,256,299,322,160,313,140,157,359,209,313,164,350
BUR78,BUR_10_2014,260,218,256,299,322,160,313,140,157,353,209,318,164,322
BUR81,BUR_11_2014,242,218,256,290,312,144,298,128,148,410,216,318,148,326
BUR83,BUR_12_2014,260,218,256,299,322,160,313,140,157,356,209,308,164,350
BUR84,BUR_12_2014,0,218,256,299,297,160,313,137,157,0,209,0,164,322
BUR90,BUR_11_2015,236,218,256,299,322,160,313,140,157,359,209,308,164,350
BUR91,BUR_11_2015,260,218,256,299,322,160,313,140,157,359,209,313,164,350
BUR96,BUR_8_2016,0,217,276,299,322,160,313,137,157,359,209,0,164,326
BUR98,BUR_8_2016,260,212,276,299,322,160,310,137,157,377,190,323,164,326
FREIBRUM1,FRB_10_2011,254,224,256,295,312,160,295,128,145,356,216,318,152,322
FREIBRUM10,FRB_2_2013,260,218,266,0,317,136,295,137,157,377,204,313,152,326
FREIBRUM11,FRB_2_2013,254,224,256,295,312,160,295,128,145,356,216,318,152,318
FREIBRUM12,FRB_10_2013,254,218,266,294,317,136,295,137,157,377,204,313,152,326
FREIBRUM13,FRB_12_2013,254,218,266,295,317,136,295,137,157,377,204,313,156,326
FREIBRUM14,FRB_12_2013,260,218,266,294,317,136,295,137,157,401,208,313,152,326
FREIBRUM15,FRB_1_2014,254,218,266,0,317,136,295,137,157,383,0,313,152,318
FREIBRUM17,FRB_5_2014,0,218,266,290,317,136,295,137,157,0,204,0,152,330
FREIBRUM18,FRB_8_2014,260,230,266,294,317,136,295,137,157,0,209,313,152,326
FREIBRUM19,FRB_12_2014,0,218,266,294,317,136,295,137,157,0,204,313,152,326
FREIBRUM20,FRB_5_2015,254,218,266,0,317,136,295,137,157,377,204,313,152,326
FREIBRUM3,FRB_10_2011,254,218,256,295,312,160,295,122,157,356,216,308,148,322
FREIBRUM7,FRB_11_2012,260,230,266,294,317,136,304,137,157,401,204,313,152,326
FREIBRUM9,FRB_11_2012,254,218,266,0,317,136,295,137,157,0,204,0,152,326
FREI10,FRE_6_2011,254,236,261,295,312,144,295,128,157,389,216,300,152,322
FREI101,FRE_7_2016,0,230,266,0,317,136,304,137,157,401,204,313,152,326
FREI118,FRE_10_2016,254,230,266,294,317,136,304,137,157,401,204,0,152,326
FREI122,FRE_10_2016,0,230,266,0,317,136,304,137,157,401,204,0,152,326
FREI123,FRE_10_2016,0,230,266,294,317,136,304,137,157,401,204,0,152,326
FREI136,FRE_10_2016,0,230,266,294,317,136,304,137,157,401,204,313,152,326
FREI146,FRE_10_2016,0,230,266,0,317,136,0,137,157,401,204,0,152,326
FREI184,FRE_7_2017,242,230,266,0,317,136,304,137,157,401,204,0,152,326
FREI240,FRE_9_2017,236,218,261,280,312,164,298,128,157,356,211,313,148,326
FREI241,FRE_9_2017,248,230,266,0,317,136,304,137,157,401,204,0,152,326
FREI26,FRE_12_2011,254,230,266,0,317,136,304,137,157,401,204,313,152,326
FREI28,FRE_1_2012,254,236,261,295,312,144,295,128,157,353,216,300,152,322
FREI37,FRE_8_2012,0,236,261,295,312,144,295,128,157,389,216,300,152,322
FREI4,FRE_3_2011,254,236,261,295,312,144,295,128,157,389,216,0,152,322
FREI50,FRE_6_2013,254,230,266,0,317,136,304,137,157,401,0,318,152,326
FREI59,FRE_11_2013,254,230,266,294,317,136,304,137,157,401,204,318,152,326
FREI62,FRE_2_2014,236,230,266,0,317,136,304,137,157,401,204,313,152,326
FREI65,FRE_5_2014,0,230,266,294,317,136,304,137,157,0,204,313,152,326
FREI69,FRE_8_2014,254,230,266,0,317,136,0,137,157,0,204,318,152,326
FREI70,FRE_8_2014,0,230,266,294,317,136,304,137,157,0,204,318,152,326
FREI73,FRE_11_2014,254,230,266,294,317,136,322,137,157,353,211,0,152,326
